sun_alt,sun_az,sat_alt,sat_az,sat_height,phase_angle,measured_mag,lab_brdf_mag,inferred_brdf_mag,sun_x,sun_y,sun_z,obs_x,obs_y,obs_z,A_eff_SA,A_eff_chassis,intensity_lab_brdfs,mag_lab_brdfs
-11.55796185,98.81864307,32.99429802,37.81616516,543.3058251,106.8123893,7.008527712,8.538704284,7.746301006,0,0.989249221,-0.146239459,-0.096434064,-0.055626783,0.993783745,22.68,3.64,7.84E-12,8.541682986
-12.60688213,256.0097525,32.08351425,319.1684455,541.2912364,104.916367,6.925874726,8.479298244,7.659595861,0,0.986049525,-0.166452197,0.100959808,-0.053648109,0.993443002,0,3.64,8.29E-12,8.482276946
-24.92483948,86.61911175,28.69001518,89.5798428,542.0731113,126.3096064,4.784447042,3.93182914,5.516066153,0,0.953321911,-0.301955849,0.006293445,-0.127931996,0.991762974,0,3.64,5.46E-10,3.934807842
-12.51829774,105.610687,20.73342746,44.50038816,543.4536101,111.3682424,8.031133503,9.581526861,8.754496214,0,0.991011353,-0.133777797,-0.146012851,-0.085674656,0.985565878,22.68,3.64,3.00E-12,9.584505563
-15.76251518,289.4459751,47.62677274,325.3777043,540.9121096,108.9356462,5.651312663,6.675223043,6.367125053,0,0.976143971,-0.217124268,0.039999724,-0.056391219,0.997607163,0,3.64,4.36E-11,6.678201745
-23.01395864,320.3298805,22.0772959,323.7207338,541.7848195,134.7880704,5.5339687,4.449719364,6.247891338,0,0.971260814,-0.238017713,0.009019019,-0.160656357,0.986969195,0,3.64,3.39E-10,4.452698066
-15.83466506,70.80543468,21.04138727,33.25444606,543.4328813,127.8720231,7.499681528,8.816466363,8.210722629,0,0.989963552,-0.14132291,-0.099154737,-0.134887698,0.985887239,22.68,3.64,6.07E-12,8.819445065
-26.21821359,84.81050326,27.41824285,73.03332558,542.4837481,125.1796891,4.859865117,4.878983597,5.569818957,0,0.947306141,-0.320329635,-0.025858735,-0.131257313,0.991011021,22.68,3.64,2.28E-10,4.881962299
-23.67509968,92.20075659,25.942505,30.54748213,547.44427,102.4367463,6.58840863,8.113714721,7.298332061,0,0.941910786,-0.335863173,-0.121286743,-0.073337405,0.989904617,22.68,3.64,1.16E-11,8.116693423
-17.9505071,95.70916313,22.35717646,117.5450558,539.7557359,134.3835087,6.550124574,7.555374631,7.254708467,0,0.98645734,-0.164018038,0.056975414,-0.148267501,0.98730469,0,3.64,1.94E-11,7.558353333
-25.23953824,89.96913573,33.33919711,119.9434957,540.0190522,114.8506301,5.100364751,6.4548578,5.80334431,0,0.941135853,-0.33802856,0.052586888,-0.096062865,0.993985184,0,3.64,5.35E-11,6.457836502
-16.45240533,311.041713,20.336201,61.68605875,542.3869523,65.450388,6.218064698,7.616620763,6.912831701,0,0.941501046,-0.33701006,0.163473385,0.051830617,0.985185282,0,3.64,5.27E-12,8.973687774
-25.24592095,265.4547085,25.21097354,322.2958363,541.5310541,105.4219059,6.512827231,8.008010289,7.205259859,0,0.936457958,-0.350779835,0.116492496,-0.084770589,0.989567302,0,3.64,1.28E-11,8.010988991
-14.07130903,50.65673984,31.24755335,61.09027421,542.417058,133.5865115,6.32141296,6.198720364,7.013792373,0,0.991626255,-0.129140897,0.020853097,-0.115856483,0.99304704,0,3.64,6.77E-11,6.201699066
-11.85137701,79.98303602,46.33611156,102.5534041,540.4683816,118.3846169,6.146592032,6.767722177,6.838452374,0,0.990193536,-0.1397024,0.027342604,-0.066688647,0.997399121,0,3.64,4.01E-11,6.770700879
-15.93537436,297.0723238,40.23575582,300.5646206,540.9694464,123.7349017,5.525349136,5.537573599,6.212506875,0,0.981940924,-0.189187796,0.005239496,-0.087679788,0.996134932,0,3.64,1.24E-10,5.540552301
-14.24868713,255.019483,67.38385869,88.12675384,542.0429281,53.82747182,4.176531586,5.537639085,4.847934735,0,0.960985547,-0.276598587,-0.007413428,0.031553203,0.99947458,22.68,3.64,1.25E-10,5.538599268
-15.23485723,307.1899594,34.30869527,49.66806157,542.3800249,71.31798096,5.972947781,7.206707465,6.642593436,0,0.958975986,-0.283487317,0.104639363,0.019915288,0.994310809,0,3.64,1.20E-11,8.076403361
-13.57705168,96.3786756,34.44887527,40.84421902,543.3877936,108.7133548,6.767103088,8.148344012,7.436176412,0,0.984567994,-0.175002473,-0.086449164,-0.061692119,0.994344319,22.68,3.64,1.12E-11,8.151322714
-14.07062966,104.4149664,27.98999715,118.0031833,539.7426532,135.9275942,6.618812483,6.721716451,7.285739178,0,0.993033528,-0.11783214,0.029987592,-0.127181979,0.991425987,0,3.64,4.18E-11,6.724695153
-20.24004678,315.7383255,26.36179374,29.07276365,542.7854483,95.01852171,6.757649548,8.329542356,7.414688314,0,0.952263908,-0.305276021,0.130958348,-0.045817668,0.990328558,0,3.64,9.51E-12,8.332521058
-24.41093005,90.06960338,21.81817187,121.4566524,540.4627179,124.6158427,6.138384314,7.582618355,6.794229276,0,0.959471483,-0.281805737,0.080123026,-0.140910217,0.986774854,0,3.64,1.89E-11,7.585597057
-16.92479173,104.4921599,79.8370955,274.2440335,542.3344753,63.08547966,4.496148765,5.735303002,5.148259918,0,0.952577421,-0.304296331,0.002506984,0.013804863,0.999901566,0,3.64,5.94E-11,6.343590694
-22.14751015,44.2053965,53.33122897,354.6936821,540.7749595,93.25351706,5.061666682,6.276949195,5.711879176,0,0.939659515,-0.342111087,-0.042717808,-0.037712823,0.998375146,22.68,3.64,6.30E-11,6.279927897
-13.04752488,105.0235784,32.17148704,132.3848259,539.8241221,127.744921,6.787020002,7.621533846,7.433663588,0,0.992044263,-0.125889557,0.051332106,-0.101493991,0.993510938,0,3.64,1.83E-11,7.624512548
-19.8240675,308.3774795,22.60648391,41.58092709,543.0276291,79.69468233,6.947288474,8.671146802,7.588336484,0,0.939270013,-0.343179025,0.158189893,-0.000292963,0.987408665,0,3.64,6.94E-12,8.674125504
-15.01339367,310.8332618,32.12649478,165.5720356,539.043219,35.9109116,4.72179931,6.188186393,5.362092988,0,0.937621173,-0.347658648,-0.066779716,0.092101945,0.993507776,22.68,3.64,6.85E-11,6.188757089
-12.80290601,52.20180612,24.35373094,230.4776206,580.5773358,11.66535309,5.012078441,6.552030481,5.646048928,0,0.928302608,-0.371825588,0.004960438,0.156866651,0.987607335,0,3.64,8.74E-12,8.423911843
-15.98138229,265.2787723,35.29119425,264.5533975,576.0663509,128.7228052,5.942141803,5.493034199,6.56741136,0,0.985575911,-0.169233934,-0.001341916,-0.108660587,0.994078003,22.68,3.64,1.30E-10,5.496012901
-18.6018779,268.5942418,30.55031525,331.8337108,541.8231009,101.850578,6.624178863,8.058220125,7.242537566,0,0.964161738,-0.265315178,0.105628899,-0.05767033,0.992731922,0,3.64,1.22E-11,8.061198827
-13.48191914,64.82781089,25.61919159,217.669949,541.252125,28.23955234,4.960284325,6.453428086,5.577517024,0,0.935383285,-0.353635561,0.0673809,0.124990232,0.989867292,0,3.64,9.39E-12,8.34672292
-19.03435342,314.2237446,46.66475983,14.74076543,542.3175133,94.70779149,5.625829859,6.960756301,6.236562527,0,0.956411201,-0.292023313,0.06153913,-0.036448323,0.997438948,0,3.64,3.36E-11,6.963735003
-18.79573091,101.365975,22.41405582,35.35775393,543.5457594,103.4732037,7.296957772,8.767781969,7.905913764,0,0.966485684,-0.256720515,-0.142639907,-0.071141149,0.987214665,22.68,3.64,6.35E-12,8.770760671
